key	en_US_text	zh_text	current_local_text
common.ok	"OK"	"确定"	"OK"
common.status	"Status"	"状态"	"Status"
navigation.statistics	"Statistics"	"统计"	"Statistics"
navigation.liveMap	"Live Map"	"实时地图"	"Live Map"
navigation.userJourney	"User Journey"	"用户旅程"	"User Journey"
navigation.channels	"Channels"	"频道"	"Channels"
navigation.templates	"Templates"	"模板"	"Templates"
navigation.watchList	"Watch List"	"监视列表"	"Watch List"
navigation.serverList	"Server List"	"服务器列表"	"Server List"
navigation.topology	"Topology"	"拓扑"	"Topology"
navigation.tlsStatistics	"TLS Statistics"	"TLS 统计"	"TLS Statistics"
navigation.serverBans	"Server Bans"	"服务器封禁"	"Server Bans"
navigation.nameBans	"Name Bans"	"名称封禁"	"Name Bans"
navigation.exceptions	"Exceptions"	"例外"	"Exceptions"
navigation.spamfilters	"Spamfilters"	"垃圾邮件过滤器"	"Spamfilters"
navigation.scheduled	"Scheduled Commands"	"定时命令"	"Scheduled Commands"
navigation.alertRules	"Alert Rules"	"警报规则"	"Alert Rules"
navigation.overview	"Overview"	"概览"	"Overview"
navigation.irc	"IRC"	"IRC"	"IRC"
navigation.bansFilters	"Bans & Filters"	"封禁和过滤器"	"Bans & Filters"
navigation.tools	"Tools"	"工具"	"Tools"
navigation.community	"Community"	"社区"	"Community"
navigation.admin	"Admin"	"管理员"	"Admin"
navigation.digest	"Digest"	"邮件摘要"	"Digest"
navigation.logs	"Logs"	"日志"	"Logs"
navigation.plugins	"Plugins"	"插件"	"Plugins"
navigation.feedback	"Feedback"	"反馈"	"Feedback"
navigation.panelUsers	"Panel Users"	"面板用户"	"Panel Users"
navigation.roles	"Roles"	"角色"	"Roles"
navigation.compliance	"Compliance"	"合规"	"Compliance"
navigation.rpcServers	"RPC Servers"	"RPC 服务器"	"RPC Servers"
dashboard.editLayout	"Edit Layout"	"编辑布局"	"Edit Layout"
dashboard.addWidget	"Add Widget"	"添加小部件"	"Add Widget"
dashboard.saveLayout	"Save Layout"	"保存布局"	"Save Layout"
dashboard.resetLayout	"Reset Layout"	"重置布局"	"Reset Layout"
dashboard.cancel	"Cancel"	"取消"	"Cancel"
dashboard.save	"Save"	"保存"	"Save"
dashboard.saving	"Saving..."	"保存中..."	"Saving..."
dashboard.customize	"Customize"	"自定义"	"Customize"
dashboard.loading	"Loading..."	"加载中..."	"Loading..."
dashboard.error	"Error loading dashboard"	"加载仪表板时出错"	"Error loading dashboard"
dashboard.noWidgets	"No widgets available"	"没有可用的小部件"	"No widgets available"
dashboard.widgetConfig	"Widget Configuration"	"小部件配置"	"Widget Configuration"
dashboard.configureWidget	"Configure Widget"	"配置小部件"	"Configure Widget"
dashboard.widgetType	"Widget Type"	"小部件类型"	"Widget Type"
dashboard.description	"Description"	"描述"	"Description"
dashboard.configure	"Configure"	"配置"	"Configure"
dashboard.remove	"Remove"	"移除"	"Remove"
dashboard.dragToReorder	"Drag to reorder widgets"	"拖拽重新排序小部件"	"Drag to reorder widgets"
dashboard.editModeHint	"Edit Mode: Drag widgets to reposition, drag edges to resize. Click the X to remove a widget."	"编辑模式：拖拽重新定位，拖拽边缘调整大小。点击 X 移除小部件。"	"Edit Mode: Drag widgets to reposition, drag edges to resize. Click the X to remove a widget."
dashboard.resetConfirm	"Reset dashboard to default layout? This cannot be undone."	"重置仪表板到默认布局？这无法撤销。"	"Reset dashboard to default layout? This cannot be undone."
dashboard.pageDescription	"Overview of your IRC network"	"您的 IRC 网络概览"	"Overview of your IRC network"
widgets.networkStats	"Network Stats"	"网络统计"	"Network Stats"
widgets.topUsers	"Top Users"	"热门用户"	"Top Users"
widgets.recentChannels	"Recent Channels"	"最近频道"	"Recent Channels"
widgets.serverStatus	"Server Status"	"服务器状态"	"Server Status"
widgets.uptime	"Uptime"	"运行时间"	"Uptime"
widgets.version	"Version"	"版本"	"Version"
widgets.users	"Users"	"用户"	"Users"
widgets.channels	"Channels"	"频道"	"Channels"
widgets.servers	"Servers"	"服务器"	"Servers"
widgets.operators	"Operators"	"操作员"	"Operators"
widgets.invisible	"Invisible"	"隐身"	"Invisible"
widgets.total	"Total"	"总计"	"Total"
widgets.local	"Local"	"本地"	"Local"
widgets.globalMax	"Global Max"	"全局最大"	"Global Max"
widgets.online	"Online"	"在线"	"Online"
widgets.offline	"Offline"	"离线"	"Offline"
widgets.connecting	"Connecting"	"连接中"	"Connecting"
widgets.unknown	"Unknown"	"未知"	"Unknown"
widgets.viewAll	"View All"	"查看全部"	"View All"
widgets.noData	"No data available"	"无数据"	"No data available"
widgets.loading	"Loading..."	"加载中..."	"Loading..."
widgets.error	"Error loading data"	"加载数据时出错"	"Error loading data"
widgets.statsHistory	"Stats History"	"统计历史"	"Stats History"
widgets.last24Hours	"Last 24 Hours"	"过去24小时"	"Last 24 Hours"
widgets.userActivity	"User Activity"	"用户活动"	"User Activity"
widgets.channelActivity	"Channel Activity"	"频道活动"	"Channel Activity"
widgets.serverActivity	"Server Activity"	"服务器活动"	"Server Activity"
widgets.totalUsers	"Total Users"	"总用户数"	"Total Users"
widgets.connectedToNetwork	"Connected to network"	"已连接到网络"	"Connected to network"
widgets.activeChannels	"Active Channels"	"活跃频道"	"Active Channels"
widgets.withUsers	"With users"	"有用户"	"With users"
widgets.linkedServers	"Linked Servers"	"链接服务器"	"Linked Servers"
widgets.inNetwork	"In network"	"在网络中"	"In network"
widgets.onlineOperators	"IRC Operators"	"在线 IRC 操作员"	"IRC Operators"
widgets.topChannels	"Top Channels"	"热门频道"	"Top Channels"
widgets.byUserCount	"By user count"	"按用户数"	"By user count"
widgets.noTopic	"No topic"	"无主题"	"No topic"
widgets.noChannels	"No channels"	"无频道"	"No channels"
widgets.networkServers	"Network servers"	"网络服务器"	"Network servers"
widgets.server	"Server"	"服务器"	"Server"
widgets.status	"Status"	"状态"	"Status"
widgets.ok	"OK"	"正常"	"OK"
widgets.noServers	"No servers"	"无服务器"	"No servers"
widgets.hourOverview	"24-hour overview"	"24小时概览"	"24-hour overview"
widgets.quickLinks	"Quick Links"	"快速链接"	"Quick Links"
widgets.navigateToSections	"Navigate to sections"	"导航到各个部分"	"Navigate to sections"
widgets.networkInfo	"Network Info"	"网络信息"	"Network Info"
widgets.connectionDetails	"Connection details"	"连接详情"	"Connection details"
widgets.recentBans	"Recent Bans"	"最近封禁"	"Recent Bans"
widgets.serverBans	"Server bans"	"服务器封禁"	"Server bans"
widgets.noRecentBans	"No recent bans"	"无最近封禁"	"No recent bans"
auth.panelTitle	"UnrealIRCd Panel"	"UnrealIRCd 面板"	"UnrealIRCd Panel"
auth.panelSubtitle	"Sign in to manage your IRC network"	"登录以管理您的 IRC 网络"	"Sign in to manage your IRC network"
auth.twoFactorRequired	"Two-factor authentication required"	"需要双因素认证"	"Two-factor authentication required"
auth.usernameLabel	"Username"	"用户名"	"Username"
auth.usernamePlaceholder	"Enter your username"	"输入您的用户名"	"Enter your username"
auth.passwordLabel	"Password"	"密码"	"Password"
auth.passwordPlaceholder	"Enter your password"	"输入您的密码"	"Enter your password"
