key	en_US_text	zh_text	current_local_text
navigation.statistics	"Statistics"	"统计"	"Statistics"
navigation.liveMap	"Live Map"	"实时地图"	"Live Map"
navigation.userJourney	"User Journey"	"用户旅程"	"User Journey"
navigation.channels	"Channels"	"频道"	"Channels"
navigation.templates	"Templates"	"模板"	"Templates"
navigation.watchList	"Watch List"	"监视列表"	"Watch List"
navigation.serverList	"Server List"	"服务器列表"	"Server List"
navigation.topology	"Topology"	"拓扑"	"Topology"
navigation.tlsStatistics	"TLS Statistics"	"TLS 统计"	"TLS Statistics"
navigation.serverBans	"Server Bans"	"服务器封禁"	"Server Bans"
navigation.nameBans	"Name Bans"	"名称封禁"	"Name Bans"
navigation.exceptions	"Exceptions"	"例外"	"Exceptions"
navigation.spamfilters	"Spamfilters"	"垃圾邮件过滤器"	"Spamfilters"
navigation.scheduled	"Scheduled Commands"	"定时命令"	"Scheduled Commands"
navigation.alertRules	"Alert Rules"	"警报规则"	"Alert Rules"
navigation.overview	"Overview"	"概览"	"Overview"
navigation.irc	"IRC"	"IRC"	"IRC"
navigation.bansFilters	"Bans & Filters"	"封禁和过滤器"	"Bans & Filters"
navigation.tools	"Tools"	"工具"	"Tools"
navigation.community	"Community"	"社区"	"Community"
navigation.admin	"Admin"	"管理员"	"Admin"
navigation.digest	"Digest"	"邮件摘要"	"Digest"
navigation.feedback	"Feedback"	"反馈"	"Feedback"
navigation.panelUsers	"Panel Users"	"面板用户"	"Panel Users"
navigation.roles	"Roles"	"角色"	"Roles"
navigation.compliance	"Compliance"	"合规"	"Compliance"
navigation.rpcServers	"RPC Servers"	"RPC 服务器"	"RPC Servers"
dashboard.editLayout	"Edit Layout"	"编辑布局"	"Edit Layout"
dashboard.addWidget	"Add Widget"	"添加小部件"	"Add Widget"
dashboard.saveLayout	"Save Layout"	"保存布局"	"Save Layout"
dashboard.resetLayout	"Reset Layout"	"重置布局"	"Reset Layout"
dashboard.cancel	"Cancel"	"取消"	"Cancel"
dashboard.save	"Save"	"保存"	"Save"
dashboard.saving	"Saving..."	"保存中..."	"Saving..."
dashboard.customize	"Customize"	"自定义"	"Customize"
dashboard.loading	"Loading..."	"加载中..."	"Loading..."
dashboard.error	"Error loading dashboard"	"加载仪表板时出错"	"Error loading dashboard"
dashboard.noWidgets	"No widgets available"	"没有可用的小部件"	"No widgets available"
dashboard.widgetConfig	"Widget Configuration"	"小部件配置"	"Widget Configuration"
dashboard.configureWidget	"Configure Widget"	"配置小部件"	"Configure Widget"
dashboard.widgetType	"Widget Type"	"小部件类型"	"Widget Type"
dashboard.description	"Description"	"描述"	"Description"
dashboard.configure	"Configure"	"配置"	"Configure"
dashboard.remove	"Remove"	"移除"	"Remove"
dashboard.dragToReorder	"Drag to reorder widgets"	"拖拽重新排序小部件"	"Drag to reorder widgets"
dashboard.editModeHint	"Edit Mode: Drag widgets to reposition, drag edges to resize. Click the X to remove a widget."	"编辑模式：拖拽重新定位，拖拽边缘调整大小。点击 X 移除小部件。"	"Edit Mode: Drag widgets to reposition, drag edges to resize. Click the X to remove a widget."
dashboard.resetConfirm	"Reset dashboard to default layout? This cannot be undone."	"重置仪表板到默认布局？这无法撤销。"	"Reset dashboard to default layout? This cannot be undone."
dashboard.pageDescription	"Overview of your IRC network"	"您的 IRC 网络概览"	"Overview of your IRC network"
widgets.networkStats	"Network Stats"	"网络统计"	"Network Stats"
widgets.topUsers	"Top Users"	"热门用户"	"Top Users"
widgets.recentChannels	"Recent Channels"	"最近频道"	"Recent Channels"
